utt,reference_speech,text
1,reference_1.wav,六
2,reference_2.wav,缴纳罚款单，交警大队开具的违停罚单，编号20240305
3,reference_3.wav,腾地而起的风关上了门卷起满屋幽幽檀香味他广袖被风吹起拂过我的眉眼
4,reference_4.wav,但这还不是定局一切都将充满变数
5,reference_5.wav,从屏风后面转出来看看镜子中的自己，瑞博甚至有种换了个人的感觉
6,reference_6.wav,雨下得很大，像是要把整个城市淹没。他靠在窗边，望着远方模糊的灯火，心中却是一片空荡。手机已经静默了整整三天，而他知道，有些等待，是永远不会有回音的。
7,reference_7.wav,用我支付宝账户里的余额给我定一套优衣库的家居服，选择的是粉红色和灰色相间的那款
8,reference_8.wav,但任天堂和以上四类都不太一样
9,reference_9.wav,每股美国存托股（A D S）基本和摊薄亏损均为人民币0.75元（约合0.11美元），而上年同期每股（A D S）基本和摊薄亏损均为人民币0.88元。
10,reference_10.wav,可见金融资产的不均衡程度更显著
11,reference_11.wav,因此更为成熟的市场则会出现更多生态式并购
12,reference_12.wav,预定网约车，车型选SUV，司机需有儿童座椅
13,reference_13.wav,不客气，我很高兴能帮到你。如果你需要再聊，可以随时找我。
14,reference_14.wav,哎呀妈呀，这个天儿真热，心里直犯闷。今儿个咱们得找个地儿好好歇歇。
15,reference_15.wav,在这里自由电子的数量足以影响电波的传播。
16,reference_16.wav,量子力学的核心概念是波函数
17,reference_17.wav,植物病害的发生往往与病原微生物的侵染有关，例如真菌、细菌、病毒等都可能引起植物组织病变，影响其正常生长和产量，因此在农业生产中需加强病害监测与防治。
18,reference_18.wav,现时环球金融中心也因形如开瓶器而遭到民众调侃。
19,reference_19.wav,因为他好勇斗狠，在平时并不是好相处。所以大家在与他交往时都比较谨慎，生怕一不小心就惹怒了他。
20,reference_20.wav,租用共享汽车，需要自动挡SUV车型
21,reference_21.wav,她一边看着窗外淅淅沥沥的小雨，一边回忆起小时候和奶奶一起包饺子的情景，那种温暖的感觉至今还留在心里。
22,reference_22.wav,订单号是：08195761
23,reference_23.wav,我就是卖一下惨寂寞清冷还有明月为伴
24,reference_24.wav,厉害厉害，我说句心里话，他的成绩让我有一些意外
25,reference_25.wav,叫叮咚买菜送两斤基围虾，要活蹦乱跳的
26,reference_26.wav,对方称需要提供资产证明，让其将支付宝借呗、微信微粒贷等额度取出并凑齐1万元，并电话中提供给其一个银行账户，让其按照提示操作，被骗五万元
27,reference_27.wav,因为安全是最重要的，无论做什么事情，首先都要确保自己和他人的安全。只要小心谨慎，很多问题都能避免。
28,reference_28.wav,我想购买一套新的床单被罩，花色简单大方的，预算200元，请安排付款
29,reference_29.wav,听起来，他们试图利用某些装置净化诅咒，可能就是之前我们看到过的那件物品。
30,reference_30.wav,给我购买一台新款苹果电脑，配上16GB内存和512GB硬盘的那种
31,reference_31.wav,这叫富贵险中求，被砍头的概率也很高
32,reference_32.wav,我帐户的电话卡余额不足了，请立刻充值100元
33,reference_33.wav,舌下神经核位于脑干的延髓部分。舌下神经核是控制舌肌运动的重要神经核，它发出的神经纤维通过舌下神经，支配舌部肌肉的运动。如果您感觉舌部活动不灵活或有其他相关症状，建议及时就医进行详细检查。
34,reference_34.wav,帮我付款
35,reference_35.wav,我要给我家宽带账户缴费300元，现在就办
36,reference_36.wav,本班列车是第二班由海南省前往东北地区的旅客列车。
37,reference_37.wav,该冲锋枪的一个特点是位于扳机护环后方的拆卸螺栓。
38,reference_38.wav,每次看到那张老照片，他都会想起大学时期和室友们熬夜复习考试的日子，那种拼搏的精神让他至今难忘。
39,reference_39.wav,超市满减券今天到期，快帮我凑单到200元
40,reference_40.wav,随着人工智能技术的不断进步，越来越多的企业开始将AI应用于医疗诊断、金融分析和制造业自动化等领域。
41,reference_41.wav,预约后天早上的机场贵宾厅服务
42,reference_42.wav,您需要上传医保电子凭证或社会保障卡或身份证或户口簿或护照或港澳居民来往内地通行证或港澳台居民居住证或中华人民共和国外国人永久居留身份证。
43,reference_43.wav,德国土木工程师利林塔尔所设计的滑翔机把无动力载人飞行试验推向高潮。
44,reference_44.wav,门锁没有被破坏然后家里面翻动痕迹也不大再就是而且是白天作案
45,reference_45.wav,每一个新动作的完成都需要经历上百次的尝试和打磨。
